second,para,question,br,tl
622,15,0,1451,15
623,15,0,1451,15
624,15,0,1451,15
625,15,0,1451,15
626,15,0,1451,15
627,15,0,1451,15
628,15,0,1451,15
629,15,0,1451,15
630,15,0,1451,15
631,15,0,1451,15
632,15,0,1451,15
633,15,0,1451,15
634,15,0,1451,15
635,15,0,1451,15
636,15,0,1451,15
637,15,0,1451,15
638,15,0,1451,15
639,15,0,1451,15
640,15,0,1451,15
641,15,0,1451,15
642,15,0,1451,15
643,15,0,1451,15
644,15,0,1451,15
645,15,0,1451,15
646,15,0,1451,15
647,15,0,1451,15
648,15,0,1451,15
649,15,0,1451,15
650,15,0,1451,15
651,15,0,1451,15
652,15,0,1451,15
653,15,0,1451,15
654,15,0,1451,15
655,15,0,1451,15
656,15,0,1451,15
657,15,0,1451,15
658,15,0,1451,15
659,15,0,1451,15
660,15,0,1451,15
661,15,0,1451,15
662,15,0,1451,15
663,15,0,1451,15
664,14,0,7866,14;15
665,14,0,7866,14;15
666,16,0,1451,16
667,16,0,1451,16
668,16,0,1451,16
669,16,0,1451,16
670,16,0,1451,16
671,16,0,1451,16
672,16,0,1451,16
673,16,0,1451,16
674,16,0,1462,16
675,16,0,1462,16
676,16,0,1451,16
677,16,0,1451,16
678,16,0,1451,16
679,16,0,1451,16
680,16,0,1451,16
681,16,0,1451,16
682,16,0,1451,16
683,16,0,1451,16
684,16,0,1451,16
685,16,0,1451,16
686,16,0,1451,16
687,16,0,1451,16
688,16,0,1451,16
689,16,0,1451,16
690,16,0,1451,16
691,16,0,1451,16
692,16,0,1451,16
693,16,0,1451,16
694,16,0,1451,16
695,16,0,1451,16
696,16,0,1451,16
697,16,0,1451,16
698,16,0,1451,16
699,16,0,1451,16
700,16,0,1451,16
701,16,0,1451,16
702,16,0,1451,16
703,16,0,1451,16
704,16,0,1451,16
705,16,0,1451,16
706,16,0,1451,16
707,16,0,1451,16
708,16,0,1451,16
709,16,0,1451,16
710,16,0,1451,16
711,16,0,1451,16
712,16,0,1451,16
713,16,0,1451,16
714,16,0,1451,16
715,16,0,1451,16
716,16,0,7534,16
717,16,0,7534,16
718,16,0,7590,16
719,16,0,7590,16
720,16,0,8073,16
721,16,0,8073,16
722,16,0,7554,16
723,16,0,7554,16
724,16,0,7733,16
725,16,0,7733,16
726,0,0,1451,
727,0,0,1451,
728,0,0,1482,
729,0,0,1482,
730,0,0,1486,
731,0,0,1486,
732,0,0,1488,
733,0,0,1488,
734,0,0,1483,
735,0,0,1483,
736,0,0,1488,
737,0,0,1488,
738,0,0,2356,
739,0,0,2356,
740,0,0,1503,
741,0,0,1503,
742,0,0,1965,
743,0,0,1965,
744,0,0,1691,
745,0,0,1691,
746,0,0,1489,
747,0,0,1489,
748,0,0,4491,
749,0,0,4491,
750,0,0,1483,
751,0,0,1483,
752,0,0,1510,
753,0,0,1510,
754,0,0,1529,
755,0,0,1529,
756,17,0,1451,17
757,17,0,1451,17
758,17,0,1844,17
759,17,0,1844,17
760,17,0,1451,17
761,17,0,1451,17
762,17,0,1451,17
763,17,0,1451,17
764,17,0,1669,17
765,17,0,1669,17
766,17,0,3496,17
767,17,0,3496,17
768,17,0,1451,17
769,17,0,1451,17
770,17,0,1451,17
771,17,0,1451,17
772,17,0,1451,17
773,17,0,1451,17
774,17,0,1451,17
775,17,0,1451,17
776,17,0,1451,17
777,17,0,1451,17
778,17,0,1451,17
779,17,0,1451,17
780,17,0,1451,17
781,17,0,1451,17
782,17,0,1451,17
783,17,0,1451,17
784,17,0,1451,17
785,17,0,1451,17
786,17,0,1451,17
787,17,0,1451,17
788,17,0,7911,17
789,17,0,7911,17
790,17,0,10356,17
791,17,0,10356,17
792,17,0,7899,17
793,17,0,7899,17
794,17,0,7980,17
795,17,0,7980,17
796,17,0,7945,17
797,17,0,7945,17
798,0,0,1131,
799,0,0,1131,
800,0,0,1451,
801,0,0,1451,
802,1,0,1451,1
803,1,0,1451,1
804,1,0,1670,1
805,1,0,1670,1
806,1,0,1451,1
807,1,0,1451,1
808,2,0,1451,2
809,2,0,1451,2
810,2,0,1451,2
811,2,0,1451,2
812,2,0,1451,2
813,2,0,1451,2
814,0,0,1451,
815,0,0,1451,
816,0,0,1451,
817,0,0,1451,
818,0,0,1451,
819,0,0,1451,
820,0,0,1451,
821,0,0,1451,
822,0,0,1131,
823,0,0,1131,
824,0,0,1131,
825,0,0,1131,
826,0,0,1131,
827,0,0,1131,
